dt: 0.000908618
iter Ex Ey Ez Bx By Bz Jx Jy Jz
150 1.464989953425357e-12 9.426064562582077e-13 1.004554009049095e-12 7.427705129814886e-16 1.832654274191719e-12 1.692228182196217e-12 3.017473568929056e-07 1.142471253043335e-10 1.285215835984149e-10
160 1.932907969718358e-12 1.288650007231600e-12 1.366139336225333e-12 1.135438980426555e-15 2.387374996244402e-12 2.259165204562952e-12 3.778217919316886e-07 1.944519031840917e-10 2.145981969005507e-10
170 2.457839122525975e-12 1.675981951136488e-12 1.746182543488637e-12 1.958220702206690e-15 3.047456578971682e-12 2.922249253481093e-12 5.094903547807085e-07 3.399927464141343e-10 3.588928348696632e-10
180 3.160049059569305e-12 2.172481190523961e-12 2.244633837771579e-12 3.280292200996990e-15 4.182961502910008e-12 3.961253573657793e-12 5.750513833644517e-07 4.450181377039104e-10 5.082988140248654e-10
190 4.032887385747034e-12 2.842067381683282e-12 2.953617446150681e-12 4.588630692433687e-15 5.178008903873630e-12 5.039828968222260e-12 5.515236658570054e-07 4.456913725949724e-10 5.168619386281111e-10
200 4.848865726193339e-12 3.520720275869702e-12 3.630654469572138e-12 5.870471202662455e-15 5.948868816895284e-12 5.756733936784543e-12 5.809175460290027e-07 4.971787852988499e-10 5.604515446332591e-10
210 5.374000223577444e-12 4.034487235128491e-12 4.195020913070825e-12 6.683630923960924e-15 7.042554538621956e-12 6.758557677686086e-12 6.087762887729564e-07 5.524538032792683e-10 6.266915874109405e-10
220 5.923721868466951e-12 4.742876452206455e-12 4.902476733506951e-12 7.920320824667109e-15 8.165529000987628e-12 7.876844786800389e-12 6.401265624087944e-07 6.174404903894892e-10 7.125193880706194e-10
230 6.624614008722683e-12 5.518675704766903e-12 5.765019058300647e-12 1.003036456867670e-14 9.409282231089400e-12 9.047432005955645e-12 7.628188840359050e-07 7.214251307081333e-10 8.566194039164615e-10
240 7.652943225596309e-12 6.676847007820224e-12 6.918757378626312e-12 1.139151874494883e-14 1.068955523837705e-11 1.038321504834474e-11 9.015409218495218e-07 8.463835363101011e-10 1.008003111420673e-09
250 8.060886614651103e-12 7.519508371494963e-12 7.690252003026471e-12 1.300115684243274e-14 1.191819819610207e-11 1.137402698985406e-11 9.249941348555701e-07 9.200820241211742e-10 1.110360737994273e-09
260 8.891208889764938e-12 8.269541380591121e-12 8.625041501277912e-12 1.559516051239532e-14 1.356228792545154e-11 1.292541117119391e-11 8.620647547902778e-07 9.164738112372861e-10 1.121591983308263e-09
270 1.019515862121413e-11 9.637513556037376e-12 1.002887451579861e-11 1.732006724033422e-14 1.444911284329485e-11 1.433098562314900e-11 8.827105686514225e-07 9.416134158427445e-10 1.178101121801101e-09
280 1.068668088673108e-11 1.060291119101151e-11 1.076772269393367e-11 1.721692206372501e-14 1.619547319176065e-11 1.575299357774225e-11 9.272143400819958e-07 1.017923248133375e-09 1.267930053316615e-09
290 1.231609854248378e-11 1.218540440568272e-11 1.263437001380863e-11 2.212253537267654e-14 1.748217986070080e-11 1.698569671861420e-11 9.711602172454317e-07 1.141090171603698e-09 1.421852567053115e-09
300 1.264058224903818e-11 1.324316246102783e-11 1.350065890870677e-11 2.969912767521407e-14 1.941587520790488e-11 1.870022658034264e-11 1.134948178857274e-06 1.403559890631449e-09 1.800617243062814e-09
310 1.412188989771506e-11 1.510949675908396e-11 1.587538510139341e-11 3.438140334412089e-14 2.437990633718909e-11 2.304454521444445e-11 1.327895544763531e-06 1.698285442043273e-09 2.195045373980269e-09
320 1.675536021096931e-11 1.790660982373155e-11 1.889947912280909e-11 4.271367568391227e-14 2.516426173365210e-11 2.501325253023240e-11 1.354705197446803e-06 1.906385619713162e-09 2.486307942176043e-09
330 1.685680028812234e-11 1.902387807221395e-11 1.944749479231705e-11 5.364586128261260e-14 2.665884276388257e-11 2.577669309637993e-11 1.235049247163377e-06 1.914623107098348e-09 2.507010485457818e-09
340 1.803716497065019e-11 2.066443798990018e-11 2.202771740485969e-11 5.406539471181443e-14 2.874851101871328e-11 2.718604428268746e-11 1.301024779781095e-06 1.981008795873660e-09 2.583511916636144e-09
350 1.825488493764568e-11 2.203820383138451e-11 2.357770838400426e-11 5.221272009732787e-14 3.016631561691353e-11 2.959335814588225e-11 1.390860125453264e-06 2.007895479662171e-09 2.675171608312020e-09
360 1.963081899460073e-11 2.458671296565691e-11 2.581181160739960e-11 6.567196103404323e-14 3.391992985099460e-11 3.300221406536456e-11 1.503008737331222e-06 2.075803278347833e-09 2.777483642666759e-09
370 2.109900066510427e-11 2.756592816468022e-11 2.944911913548413e-11 6.907518057081563e-14 3.685878472477625e-11 3.463745420107802e-11 1.761531471328929e-06 2.269512464712737e-09 3.073913696432829e-09
380 2.165251081434636e-11 3.021016204709537e-11 3.289950803606548e-11 6.070945209820659e-14 4.131995682559206e-11 3.887972939177641e-11 1.976385810012242e-06 2.458965857819479e-09 3.251061191962623e-09
390 2.251458914297501e-11 3.263214699563908e-11 3.564872389762032e-11 7.432098058319595e-14 4.205128082030580e-11 4.028035110847836e-11 2.001701832668060e-06 2.609799533913327e-09 3.343672475877218e-09
400 2.304019543430092e-11 3.438831323743326e-11 3.764301883150996e-11 8.558872368540995e-14 4.416519664684639e-11 4.148700998646852e-11 1.888903037180700e-06 2.616093841393510e-09 3.256237541588058e-09
410 2.556576531125153e-11 3.754283737300510e-11 4.170157192463012e-11 7.479529873845004e-14 4.636571557378547e-11 4.373055849817578e-11 1.992741138475100e-06 2.632721296681587e-09 3.225020182531406e-09
420 2.611045375713069e-11 3.977573919281066e-11 4.380608691527372e-11 7.559894557015939e-14 4.662137971357957e-11 4.444979888345351e-11 2.078075691454501e-06 2.639699510808836e-09 3.220084580256330e-09
430 2.676798307320972e-11 4.190532633739395e-11 4.604173303859304e-11 9.999683527459050e-14 5.359145012323690e-11 4.926250651593833e-11 2.273822499400717e-06 2.736779761490160e-09 3.236074935007597e-09
440 2.960381960490026e-11 4.707588080876094e-11 5.297197083808458e-11 9.241005076420548e-14 6.096859450536790e-11 5.640024832994237e-11 2.604932729463985e-06 2.908490682554799e-09 3.439013948129763e-09
450 3.203119716085909e-11 5.256813998336125e-11 5.838311636342786e-11 8.439513361562497e-14 6.615569690027123e-11 6.133653660998259e-11 2.814153128624335e-06 3.120129806645441e-09 3.670401870753262e-09
460 3.441579360592470e-11 5.563302631776664e-11 6.199779022183563e-11 1.261239760703720e-13 6.573782891206463e-11 6.068154244945244e-11 2.682022897894869e-06 3.161558050205124e-09 3.714614304362215e-09
470 3.477680134425333e-11 5.828437318589350e-11 6.468936233400132e-11 1.380990723596463e-13 6.564017846349407e-11 6.197880011880126e-11 2.649891960657206e-06 3.130281115598391e-09 3.625478902993617e-09
480 3.626623428544880e-11 6.112101014390815e-11 6.714499303467321e-11 1.156795152466982e-13 7.039214900090099e-11 6.545224166365827e-11 2.752109437462278e-06 3.037036486618820e-09 3.442071896885737e-09
490 4.006658409512004e-11 6.481421434135745e-11 7.131985245575533e-11 1.341300175896478e-13 7.286348154232613e-11 6.897713447623518e-11 2.866580605108593e-06 3.032502722968588e-09 3.341334683165312e-09
500 4.176915389532302e-11 6.842353427342850e-11 7.384372445343842e-11 1.490359461169837e-13 7.824479096555476e-11 7.512299160793000e-11 3.202727295555412e-06 3.016431541243782e-09 3.325180539540027e-09
